DB|Table|Concat|ID||||||||
Report|Territories_Extract|ReportTerritories_Extract|299||||||||
Report|Categories_Extract.csv|ReportCategories_Extract.csv|300||||||||
Report|Customers_Extract.csv|ReportCustomers_Extract.csv|301||||||||
Report|Employees_Extract.csv|ReportEmployees_Extract.csv|302||||||||
Report|EmployeeTerritories_Extract.csv|ReportEmployeeTerritories_Extract.csv|303||||||||
Report|Order_Details_Extract.csv|ReportOrder_Details_Extract.csv|304||||||||
Report|Order_Details_1996_Extract.csv|ReportOrder_Details_1996_Extract.csv|305||||||||
Report|Order_Details_1997_Extract.csv|ReportOrder_Details_1997_Extract.csv|306||||||||
Report|Order_Details_1998_Extract.csv|ReportOrder_Details_1998_Extract.csv|307||||||||
Report|Orders_1996_Extract.csv|ReportOrders_1996_Extract.csv|308||||||||
Report|Orders_1997_Extract.csv|ReportOrders_1997_Extract.csv|309||||||||
Report|Orders_1998_Extract.csv|ReportOrders_1998_Extract.csv|310||||||||
